older-brother,spouse,father	ob,w,f	兄弟眷父
son,son,spouse,younger-brother,daughter	s,s,w,lb,d	
son,son,spouse,older-sister,daughter	s,s,w,os,d	
son,son,spouse,father,father,father	s,s,w,f,f,f	
mother,father,older-brother,son	m,f,ob,s	堂舅
mother,father,older-brother,son,spouse	m,f,ob,s,w	堂舅妈
mother,father,older-brother,daughter	m,f,ob,d	堂姨
mother,father,older-brother,daughter,spouse	m,f,ob,d,w	
mother,mother,older-sister,daughter	m,m,os,d	姨姨母
mother,mother,older-sister,daughter,spouse	m,m,os,d,w	
father,mother,older-brother,son	f,m,ob,s	舅表伯父|舅表叔父
father,mother,older-brother,son,spouse	f,m,ob,s,w	舅表伯母|舅表叔母
mother,father,father,older-brother,son,son	m,f,f,ob,s,s	从堂舅父
mother,father,father,older-brother,son,son,spouse	m,f,f,ob,s,s,w	从堂舅母
father,father,mother,older-brother,daughter,daughter	f,f,m,ob,d,d	舅表姑表姑母
father,father,mother,older-brother,daughter,daughter,spouse	f,f,m,ob,d,d,w	
mother,father,father,older-brother,daughter,daughter	m,f,f,ob,d,d	堂姑表姨母
mother,father,father,older-brother,daughter,daughter,spouse	m,f,f,ob,d,d,w	
father,mother,mother,older-sister,daughter,son	f,m,m,os,d,s	再从母伯父|再从母叔父
father,mother,mother,older-sister,daughter,son,spouse	f,m,m,os,d,s,w	再从母伯母|再从母叔母
father,father,father,older-sister,daughter,daughter	f,f,f,os,d,d	姑表姑表姑母
father,father,father,older-sister,daughter,daughter,spouse	f,f,f,os,d,d,w	
father,father,father,father,older-sister,daughter,daughter	f,f,f,f,os,d,d	姑表姑表姑祖母
father,father,father,father,older-sister,daughter,daughter,spouse	f,f,f,f,os,d,d,w	
# sweep-4 (2026-07-19): interior-SP juan/yin composites — right side = the bridge-couple's CHILD's term (M+right for wife-side juan, F+right for husband-side yin); female-bridge deep rows resolve only via mode-map
father,father,older-brother,son,spouse,father	f,f,ob,s,w,f	从父叔眷外祖父
father,father,older-brother,son,spouse,mother	f,f,ob,s,w,m	从父叔眷外祖母
father,father,older-brother,son,spouse,father,older-brother,daughter	f,f,ob,s,w,f,ob,d	从父叔眷堂姨母
father,father,older-brother,son,spouse,father,older-brother,son	f,f,ob,s,w,f,ob,s	从父叔眷堂舅父
father,father,older-brother,son,spouse,older-brother	f,f,ob,s,w,ob	从父叔眷舅父
father,father,older-brother,son,spouse,older-brother,daughter	f,f,ob,s,w,ob,d	从父叔眷舅表姊|从父叔眷舅表妹
